"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"Y32";"Y32";"Crashing of motor vehicle, undetermined intent";"Y32 Crashing of motor vehicle, undetermined intent"
"Y33";"Y33";"Other specified events, undetermined intent";"Y33 Other specified events, undetermined intent"
"Y35";"Y35";"Legal intervention";"Y35 Legal intervention"
"Y36";"Y36";"Operations of war";"Y36 Operations of war"
"Y37";"Y37";"Military operations";"Y37 Military operations"
"Y38";"Y38";"Terrorism";"Y38 Terrorism"
"Y62";"Y62";"Failure of steril precaut during surgical and medical care";"Y62 Failure of steril precaut during surgical and medical care"
"Y63";"Y63";"Failure in dosage during surgical and medical care";"Y63 Failure in dosage during surgical and medical care"
"Y64";"Y64";"Contaminated medical or biological substances";"Y64 Contaminated medical or biological substances"
"Y65";"Y65";"Other misadventures during surgical and medical care";"Y65 Other misadventures during surgical and medical care"
"Y66";"Y66";"Nonadministration of surgical and medical care";"Y66 Nonadministration of surgical and medical care"
"Y69";"Y69";"Unspecified misadventure during surgical and medical care";"Y69 Unspecified misadventure during surgical and medical care"
"Y70";"Y70";"Anesthesiology devices associated with adverse incidents";"Y70 Anesthesiology devices associated with adverse incidents"
"Y71";"Y71";"Cardiovascular devices associated with adverse incidents";"Y71 Cardiovascular devices associated with adverse incidents"
"Y72";"Y72";"Otorhinolaryngological devices assoc w incdt";"Y72 Otorhinolaryngological devices assoc w incdt"
"Y73";"Y73";"Gastroenterology and urology devices assoc w incdt";"Y73 Gastroenterology and urology devices assoc w incdt"
"Y74";"Y74";"General hospital and personal-use devices assoc w incdt";"Y74 General hospital and personal-use devices assoc w incdt"
"Y75";"Y75";"Neurological devices associated with adverse incidents";"Y75 Neurological devices associated with adverse incidents"
"Y76";"Y76";"Obstetric and gynecological devices assoc w incdt";"Y76 Obstetric and gynecological devices assoc w incdt"
"Y77";"Y77";"Ophthalmic devices associated with adverse incidents";"Y77 Ophthalmic devices associated with adverse incidents"
"Y78";"Y78";"Radiological devices associated with adverse incidents";"Y78 Radiological devices associated with adverse incidents"
"Y79";"Y79";"Orthopedic devices associated with adverse incidents";"Y79 Orthopedic devices associated with adverse incidents"
"Y80";"Y80";"Physical medicine devices associated with adverse incidents";"Y80 Physical medicine devices associated with adverse incidents"
"Y81";"Y81";"General- and plastic-surgery devices assoc w incdt";"Y81 General- and plastic-surgery devices assoc w incdt"
"Y82";"Y82";"Oth and unsp medical devices associated w adverse incidents";"Y82 Oth and unsp medical devices associated w adverse incidents"
"Y83";"Y83";"Surg op & oth surg proc cause abn react/compl, w/o misadvnt";"Y83 Surg op & oth surg proc cause abn react/compl, w/o misadvnt"
"Y84";"Y84";"Oth medical procedures cause abn react/compl, w/o misadvnt";"Y84 Oth medical procedures cause abn react/compl, w/o misadvnt"
"Y90";"Y90";"Evidence of alcohol involv determined by blood alcohol level";"Y90 Evidence of alcohol involv determined by blood alcohol level"
"Y92";"Y92";"Place of occurrence of the external cause";"Y92 Place of occurrence of the external cause"
"Y93";"Y93";"Activity codes";"Y93 Activity codes"
"Y95";"Y95";"Nosocomial condition";"Y95 Nosocomial condition"
"Y99";"Y99";"External cause status";"Y99 External cause status"
"Z00";"Z00";"Encntr for general exam w/o complaint, susp or reprtd dx";"Z00 Encntr for general exam w/o complaint, susp or reprtd dx"
"Z01";"Z01";"Encntr for oth sp exam w/o complaint, suspected or reprtd dx";"Z01 Encntr for oth sp exam w/o complaint, suspected or reprtd dx"
"Z02";"Z02";"Encounter for administrative examination";"Z02 Encounter for administrative examination"
"Z03";"Z03";"Encntr for medical obs for susp diseases and cond ruled out";"Z03 Encntr for medical obs for susp diseases and cond ruled out"
"Z04";"Z04";"Encounter for examination and observation for other reasons";"Z04 Encounter for examination and observation for other reasons"
"Z05";"Z05";"Enctr for Obs & eval of NB for susp diseases and cond R/O";"Z05 Enctr for Obs & eval of NB for susp diseases and cond R/O"
"Z08";"Z08";"Encntr for follow-up exam after trtmt for malignant neoplasm";"Z08 Encntr for follow-up exam after trtmt for malignant neoplasm"
"Z09";"Z09";"Encntr for f/u exam aft trtmt for cond oth than malig neoplm";"Z09 Encntr for f/u exam aft trtmt for cond oth than malig neoplm"
"Z11";"Z11";"Encounter for screening for infec/parastc diseases";"Z11 Encounter for screening for infec/parastc diseases"
"Z12";"Z12";"Encounter for screening for malignant neoplasms";"Z12 Encounter for screening for malignant neoplasms"
"Z13";"Z13";"Encounter for screening for other diseases and disorders";"Z13 Encounter for screening for other diseases and disorders"
"Z14";"Z14";"Genetic carrier";"Z14 Genetic carrier"
"Z15";"Z15";"Genetic susceptibility to disease";"Z15 Genetic susceptibility to disease"
"Z16";"Z16";"Resistance to antimicrobial drugs";"Z16 Resistance to antimicrobial drugs"
"Z17";"Z17";"Estrogen receptor status";"Z17 Estrogen receptor status"
"Z18";"Z18";"Retained foreign body fragments";"Z18 Retained foreign body fragments"
"Z19";"Z19";"Hormone sensitivity malignancy status";"Z19 Hormone sensitivity malignancy status"
"Z20";"Z20";"Contact w and (suspected) exposure to communicable diseases";"Z20 Contact w and (suspected) exposure to communicable diseases"
"Z21";"Z21";"Asymptomatic human immunodeficiency virus infection status";"Z21 Asymptomatic human immunodeficiency virus infection status"
"Z22";"Z22";"Carrier of infectious disease";"Z22 Carrier of infectious disease"
"Z23";"Z23";"Encounter for immunization";"Z23 Encounter for immunization"
"Z28";"Z28";"Immunization not carried out and underimmunization status";"Z28 Immunization not carried out and underimmunization status"
"Z29";"Z29";"Encounter for other prophylactic measures";"Z29 Encounter for other prophylactic measures"
"Z30";"Z30";"Encounter for contraceptive management";"Z30 Encounter for contraceptive management"
"Z31";"Z31";"Encounter for procreative management";"Z31 Encounter for procreative management"
"Z32";"Z32";"Encntr for preg test and chldbrth and childcare instruction";"Z32 Encntr for preg test and chldbrth and childcare instruction"
"Z33";"Z33";"Pregnant state";"Z33 Pregnant state"
"Z34";"Z34";"Encounter for supervision of normal pregnancy";"Z34 Encounter for supervision of normal pregnancy"
"Z36";"Z36";"Encounter for antenatal screening of mother";"Z36 Encounter for antenatal screening of mother"
"Z3A";"Z3A";"Weeks of gestation";"Z3A Weeks of gestation"
"Z37";"Z37";"Outcome of delivery";"Z37 Outcome of delivery"
"Z38";"Z38";"Liveborn infants according to place of birth and type of del";"Z38 Liveborn infants according to place of birth and type of del"
"Z39";"Z39";"Encounter for maternal postpartum care and examination";"Z39 Encounter for maternal postpartum care and examination"
"Z40";"Z40";"Encounter for prophylactic surgery";"Z40 Encounter for prophylactic surgery"
"Z41";"Z41";"Encntr for proc for purposes oth than remedying health state";"Z41 Encntr for proc for purposes oth than remedying health state"
"Z42";"Z42";"Encntr for plast/recnst surg fol med proc or healed injury";"Z42 Encntr for plast/recnst surg fol med proc or healed injury"
"Z43";"Z43";"Encounter for attention to artificial openings";"Z43 Encounter for attention to artificial openings"
"Z44";"Z44";"Encounter for fit/adjst of external prosthetic device";"Z44 Encounter for fit/adjst of external prosthetic device"
"Z45";"Z45";"Encounter for adjustment and management of implanted device";"Z45 Encounter for adjustment and management of implanted device"
"Z46";"Z46";"Encounter for fitting and adjustment of other devices";"Z46 Encounter for fitting and adjustment of other devices"
"Z47";"Z47";"Orthopedic aftercare";"Z47 Orthopedic aftercare"
"Z48";"Z48";"Encounter for other postprocedural aftercare";"Z48 Encounter for other postprocedural aftercare"
"Z49";"Z49";"Encounter for care involving renal dialysis";"Z49 Encounter for care involving renal dialysis"
"Z51";"Z51";"Encounter for other aftercare and medical care";"Z51 Encounter for other aftercare and medical care"
"Z52";"Z52";"Donors of organs and tissues";"Z52 Donors of organs and tissues"
"Z53";"Z53";"Persons encntr hlth serv for spec proc & trtmt, not crd out";"Z53 Persons encntr hlth serv for spec proc & trtmt, not crd out"
"Z55";"Z55";"Problems related to education and literacy";"Z55 Problems related to education and literacy"
"Z56";"Z56";"Problems related to employment and unemployment";"Z56 Problems related to employment and unemployment"
"Z57";"Z57";"Occupational exposure to risk factors";"Z57 Occupational exposure to risk factors"
"Z59";"Z59";"Problems related to housing and economic circumstances";"Z59 Problems related to housing and economic circumstances"
"Z60";"Z60";"Problems related to social environment";"Z60 Problems related to social environment"
"Z62";"Z62";"Problems related to upbringing";"Z62 Problems related to upbringing"
"Z63";"Z63";"Oth prob rel to prim support group, inc family circumstances";"Z63 Oth prob rel to prim support group, inc family circumstances"
"Z64";"Z64";"Problems related to certain psychosocial circumstances";"Z64 Problems related to certain psychosocial circumstances"
"Z65";"Z65";"Problems related to other psychosocial circumstances";"Z65 Problems related to other psychosocial circumstances"
"Z66";"Z66";"Do not resuscitate";"Z66 Do not resuscitate"
"Z67";"Z67";"Blood type";"Z67 Blood type"
"Z68";"Z68";"Body mass index [BMI]";"Z68 Body mass index [BMI]"
"Z69";"Z69";"Encntr for mental health serv for victim and perp of abuse";"Z69 Encntr for mental health serv for victim and perp of abuse"
"Z70";"Z70";"Counseling related to sexual attitude, behavior and orientn";"Z70 Counseling related to sexual attitude, behavior and orientn"
"Z71";"Z71";"Persons encntr health serv for oth cnsl and med advice, NEC";"Z71 Persons encntr health serv for oth cnsl and med advice, NEC"
"Z72";"Z72";"Problems related to lifestyle";"Z72 Problems related to lifestyle"
"Z73";"Z73";"Problems related to life management difficulty";"Z73 Problems related to life management difficulty"
"Z74";"Z74";"Problems related to care provider dependency";"Z74 Problems related to care provider dependency"
"Z75";"Z75";"Problems related to medical facilities and other health care";"Z75 Problems related to medical facilities and other health care"
"Z76";"Z76";"Persons encountering health services in other circumstances";"Z76 Persons encountering health services in other circumstances"
"Z77";"Z77";"Oth contact w and (suspected) exposures hazardous to health";"Z77 Oth contact w and (suspected) exposures hazardous to health"
"Z78";"Z78";"Other specified health status";"Z78 Other specified health status"
"Z79";"Z79";"Long term (current) drug therapy";"Z79 Long term (current) drug therapy"
"Z80";"Z80";"Family history of primary malignant neoplasm";"Z80 Family history of primary malignant neoplasm"
"Z81";"Z81";"Family history of mental and behavioral disorders";"Z81 Family history of mental and behavioral disorders"
"Z82";"Z82";"Fam hx of certain disabil & chr dis (leading to disablement)";"Z82 Fam hx of certain disabil & chr dis (leading to disablement)"
"Z83";"Z83";"Family history of other specific disorders";"Z83 Family history of other specific disorders"
"Z84";"Z84";"Family history of other conditions";"Z84 Family history of other conditions"
"Z85";"Z85";"Personal history of malignant neoplasm";"Z85 Personal history of malignant neoplasm"
"Z86";"Z86";"Personal history of certain other diseases";"Z86 Personal history of certain other diseases"
"Z87";"Z87";"Personal history of other diseases and conditions";"Z87 Personal history of other diseases and conditions"
"Z88";"Z88";"Allergy status to drug/meds/biol subst";"Z88 Allergy status to drug/meds/biol subst"
"Z89";"Z89";"Acquired absence of limb";"Z89 Acquired absence of limb"
"Z90";"Z90";"Acquired absence of organs, not elsewhere classified";"Z90 Acquired absence of organs, not elsewhere classified"
"Z91";"Z91";"Personal risk factors, not elsewhere classified";"Z91 Personal risk factors, not elsewhere classified"
"Z92";"Z92";"Personal history of medical treatment";"Z92 Personal history of medical treatment"
"Z93";"Z93";"Artificial opening status";"Z93 Artificial opening status"
"Z94";"Z94";"Transplanted organ and tissue status";"Z94 Transplanted organ and tissue status"
"Z95";"Z95";"Presence of cardiac and vascular implants and grafts";"Z95 Presence of cardiac and vascular implants and grafts"
"Z96";"Z96";"Presence of other functional implants";"Z96 Presence of other functional implants"
